Model,Seeds,MMLU,MMLU_std,Average_Bias,Average_Bias_std,Average_Abs_Bias,Average_Abs_Bias_std,Anchoring,Anchoring_std,Anthropomorphism,Anthropomorphism_std,Availability Heuristic,Availability Heuristic_std,Bandwagon Effect,Bandwagon Effect_std,Confirmation Bias,Confirmation Bias_std,Conservatism,Conservatism_std,Disposition Effect,Disposition Effect_std,Endowment Effect,Endowment Effect_std,Escalation of Commitment,Escalation of Commitment_std,Framing Effect,Framing Effect_std,Fundamental Attribution Error,Fundamental Attribution Error_std,Halo Effect,Halo Effect_std,Hindsight Bias,Hindsight Bias_std,Hyperbolic Discounting,Hyperbolic Discounting_std,Illusion of Control,Illusion of Control_std,In-Group Bias,In-Group Bias_std,Information Bias,Information Bias_std,Loss Aversion,Loss Aversion_std,Mental Accounting,Mental Accounting_std,Negativity Bias,Negativity Bias_std,Not Invented Here,Not Invented Here_std,Optimism Bias,Optimism Bias_std,Planning Fallacy,Planning Fallacy_std,Reactance,Reactance_std,Risk Compensation,Risk Compensation_std,Self-Serving Bias,Self-Serving Bias_std,Social Desirability Bias,Social Desirability Bias_std,Status-Quo Bias,Status-Quo Bias_std,Stereotyping,Stereotyping_std,Survivorship Bias,Survivorship Bias_std,Certainty Bias,Certainty Bias_std,Belief Valid Bias,Belief Valid Bias_std
OLMo-Tulu,3,62.5,1.8,0.02508322495296608,0.020548178375027936,0.13013439451044229,0.01399092622118519,0.04193874362674305,0.08912719820773973,-0.04797222217350555,0.026079591492286947,0.19006965158818787,0.09404092161142683,0.09084999975741297,0.1531711783228943,0.0422666662494,0.03974938114631354,-0.006707552401454209,0.017389460814618448,0.05123053596112395,0.18364954044476267,-0.5457502089845435,0.09782723886811924,0.05836246592519442,0.023244623182907605,0.5249999987984445,0.1841367432347316,-0.004177777773307406,0.007215749229195539,0.3085921122611733,0.07311649107714606,0.08706407243536403,0.027605759855828915,0.0022004537111651426,0.007431878715959221,0.09902984218192455,0.08363781426361097,0.13698690082476303,0.18471540278908744,0.049800001349253636,0.12043947718040462,0.19411949763116254,0.10089367550285538,-0.21278888846092592,0.13864671434551581,-0.20257777744681196,0.4154889750212346,-0.0038249359813847194,0.010742171241965056,0.006394529987934734,0.0382132167308096,0.004833419797706073,0.14434595162831662,-0.04053222040604782,0.04946746015047261,0.013183168934893965,0.015154495649977786,0.09166666625466667,0.11281105088326825,0.0005101380392257224,0.015373493609854946,-0.23157777723233516,0.4400244952358705,0.004473911046391761,0.017391023709453633,0.04983333308716668,0.07698430537518997,0.9450700674709201,0.017069843756442785,0.9753396607962143,0.027633051242838103
T5-Tulu,3,55.7,1.5,0.04648483357504732,0.019514075031979872,0.09841249846246426,0.0075545735370553205,0.18353190004233985,0.1714521150945169,0.0274827626508444,0.042133162349060706,-0.011287384310908746,0.036348429758373504,0.14527777747994444,0.14621382082439718,0.0016629629460448586,0.011850958850584174,0.017608779756912975,0.0708742176529015,0.0687994637805633,0.07711252004527586,-0.06495764962335773,0.08203337307855908,0.011785218911545534,0.01639834019604317,0.12994359083048357,0.08853634906093093,-0.0063954022751453385,0.00817655193883831,0.004924685103612397,0.05500840642793173,0.24287765119437335,0.1603375660486726,0.014258720747725454,0.07247108811955663,-0.0050425925964525135,0.08510175314881248,0.488377776680837,0.19464333556331628,0.044916227139981495,0.3864028890303828,0.1664025927295996,0.1425503004153449,0.07999996210693733,0.11982269206267343,-0.19254683558144225,0.351743402076848,-0.037622694167049206,0.056662964155699234,0.023926301342361112,0.033903514851326345,0.014774711418834593,0.056461474046950996,0.06029986778545032,0.09610560844834669,-0.07682887818646096,0.08568851918262566,0.05994395437638231,0.05865024843311871,0.027720409675128663,0.03214355836015664,-0.016004401859500125,0.052159941379400304,-0.014009077056690583,0.026886443294371724,0.0047246062085244045,0.015198240569732688,0.9074594110644205,0.04445031330987127,0.9131291043868521,0.04064178507059435
OLMo-SFT,0,48.6,0.0,0.05105207092669041,,0.08637961992550938,,0.05676226993740411,,-0.06686626730206253,,0.1372371345105919,,0.015587044482911606,,-0.01649012309308788,,-0.013432835773152095,,0.0478357190545075,,-0.013624338610246488,,-0.010791236596177887,,0.34857093595734334,,-0.07320601834862075,,0.10550595217725692,,0.052733124322339495,,0.061018957194773564,,-0.0070630577505049145,,0.4536609815609161,,0.1984926348340299,,-0.017736185363096648,,-0.010206489611887911,,0.15804521248793219,,-0.00020347765727277912,,-0.013541666729944333,,0.07086106967217527,,-0.039028753491995874,,-0.03091107372559889,,0.20505906447301406,,-0.07695749414884415,,-0.03744457868307134,,-0.10240963809672021,,0.1501052621178012,,0.8900085629083703,0.044855186435167164,0.8990628477451648,0.0465617536934329
OLMo-Flan,3,58.3,2.1,0.05642167962837256,0.026279342820690228,0.10305525808715428,0.026562054805849118,0.08155661353929844,0.0548254473942756,-0.06865555536346668,0.04856279239868001,0.05938677236549339,0.07226058130752584,0.11644816269846041,0.12008600208983153,0.041691666631298675,0.03820268624418279,0.1456055552732657,0.09931615067661065,-0.1487912317148193,0.18862222557107658,-0.14560280818568924,0.13493953031212735,-0.003559259251772428,0.00460307643777039,0.46796666570523343,0.11071558647969137,0.005070899450699472,0.007253187631304485,0.11915555514022595,0.025036913366168607,0.054227777628604625,0.007965730968381894,-0.05953333316810001,0.10567768578654788,0.23474444418383578,0.13019014190195788,0.309940494697109,0.17084448009948391,-0.04568888522417789,0.0035786922149995642,-0.08590187030890073,0.06539735613788619,0.14442222180711853,0.15560342823399237,0.27756111055683613,0.29969870105109914,0.00824444437302963,0.016922349736268695,0.013512830656809577,0.03149171991779868,0.039206535117289824,0.10604366587990016,0.004392592628842797,0.07022210111117629,-0.060143253870116015,0.019466934657858113,0.10652222202615924,0.05510799822986841,0.05235555540565926,0.0337155639468938,0.009766666769633297,0.030157051725811176,0.015081132650538552,0.025304929197265354,0.003666666632777779,0.006350852902388608,0.9839113897869924,0.03770211236621831,0.9171982343518283,0.04879708055054166
T5-Flan,3,53.2,1.9,0.06108284574065879,0.05228880469384098,0.12218831063611797,0.053894393303356394,0.1507927434038678,0.04677155430169854,0.020374211125334052,0.11494728122808576,0.023516498779209527,0.04429735886091409,0.011771049684842272,0.05073651778618599,-0.06723588849687677,0.06440557494198997,0.05476862423943526,0.0637896316322138,-0.010773347384053757,0.10476772129893193,-0.1789434778394815,0.45501065722269796,0.036819701835909,0.07147214734576574,0.10814444401635925,0.1756326539697439,0.02762686713406137,0.034663004298219155,0.11292222202524814,0.06513089635793103,0.24110863274584793,0.21124672688538115,0.07682238023293914,0.16275122911893647,0.12214473181821685,0.2384638229445898,0.18745290486759816,0.42126961158568793,0.44646489181107124,0.24002124019500226,-0.017625234794377526,0.027842354611617416,-0.020844444465755552,0.19555366477324077,0.09242777766551942,0.04456066502788595,-0.056685761603256064,0.04510448141475714,0.016283792062521677,0.03410615145294223,0.03074684782468748,0.14993804457144233,0.11911373164870782,0.06621183219770013,0.018817602130363778,0.11415867092859029,0.1582222218660185,0.131595163216058,-0.03206881554919593,0.06430412749197564,0.1859875391399105,0.28866697994177004,-0.05882452757351072,0.14596918414055485,0.03315745386860227,0.053215490536557386,0.9470541670183561,0.02267000651062044,0.9183061422971883,0.02664852535180781
Flan-T5,0,50.2,0.0,0.10738719587421879,,0.1809346553966505,,0.3261615068243946,,-0.18733333302077776,,0.025938888856114128,,0.2529999995053333,,0.0255999999744,,-0.03637884738448799,,-0.5823666656128776,,-0.10237499987928125,,0.07709999992285833,,0.44483333221355553,,-0.002037408136929416,,0.2341999995169889,,0.3105817452779156,,0.021999999961666662,,0.030249999955997024,,0.9019999980656667,,0.2511833328608972,,-0.03553553550300299,,0.0906000007481333,,-0.05703333319798889,,0.012083333418680554,,-0.002099999997042857,,-0.06141843698005934,,-0.033266666557900004,,0.1907789678567079,,0.01799999995722222,,-0.0033666665661277796,,0.8613999983078666,,0.12903333280218335,,0.12008333303645834,,0.8926349494466457,0.04776700823787206,0.9154884713341567,0.02645143082081603
